
--- Fluctuation Report @ 2025-08-19 09:57:13 ---
➕ ADDED: 中威大安                 | Region: Central  | Power:    0.6 MW
➕ ADDED: 豐德#3                 | Region: Central  | Power: 1021.8 MW
➕ ADDED: 購電地熱                 | Region: East     | Power:    2.3 MW
➕ ADDED: 通霄CC#1               | Region: Central  | Power:  852.2 MW
➕ ADDED: 通霄CC#2               | Region: Central  | Power:  864.4 MW
➕ ADDED: 通霄CC#3               | Region: Central  | Power:  859.4 MW
➕ ADDED: 通霄CC#6               | Region: Central  | Power:  256.9 MW
➕ ADDED: 通霄GT#9               | Region: Central  | Power:    0.0 MW
➕ ADDED: 金門塔山                 | Region: Islands  | Power:   40.8 MW
➕ ADDED: 鉅工#1                 | Region: Central  | Power:   19.1 MW
➕ ADDED: 鉅工#2                 | Region: Central  | Power:   20.5 MW
➕ ADDED: 離岸一期                 | Region: Central  | Power:    0.0 MW
➕ ADDED: 雲麥                   | Region: Central  | Power:    0.4 MW
➕ ADDED: 電池                   | Region: Other    | Power:    0.0 MW
➕ ADDED: 青山#1                 | Region: Central  | Power:   10.1 MW
➕ ADDED: 青山#2                 | Region: Central  | Power:   10.4 MW
➕ ADDED: 青山#3                 | Region: Central  | Power:    0.0 MW
➕ ADDED: 青山#4                 | Region: Central  | Power:    0.0 MW
➕ ADDED: 馬祖珠山                 | Region: Islands  | Power:   10.7 MW
➕ ADDED: 馬鞍#1                 | Region: Central  | Power:   45.2 MW
➕ ADDED: 馬鞍#2                 | Region: Central  | Power:    0.0 MW
➕ ADDED: 鹿威彰濱                 | Region: Central  | Power:    0.8 MW
➕ ADDED: 麥寮#1                 | Region: Central  | Power:  426.2 MW
➕ ADDED: 麥寮#3                 | Region: Central  | Power:  472.9 MW
➕ ADDED: 龍A風                  | Region: Other    | Power:    0.0 MW
➕ ADDED: 龍澗#1                 | Region: East     | Power:    0.0 MW
➕ ADDED: 龍澗#2                 | Region: East     | Power:   32.8 MW
[2025-08-19 10:03] run no change
[2025-08-19 11:13] run no change
